name|set|set_code|type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|color|generated_mana|number|rarity|ruling|variation|ability|watermark|name_FR
Yixlid Jailer|WPN/Gateway|GTW|Creature — Zombie Wizard|2|1||{1}{B}|2|Alex Horley-Orlandelli|#_He holds the keys to a tombful of incarcerated secrets._#|B||7|R|"£5/1/2007: This removes all abilities on all cards in all graveyards -- both the ones that matter in a graveyard (dredge, Chronosavant's ability, etc.) and those that don't.££5/1/2007: If an ability triggers when the object that has it is put into a graveyard from the battlefield, that ability triggers from the battlefield (such as Deadwood Treefolk or Epochrasite, for example), they won't be affected by <u>Yixlid Jailer</u>.££5/1/2007: If an ability triggers when the object that has it is put into a graveyard from anywhere other than the battlefield, that ability triggers from the graveyard, (such as Krosan Tusker, Narcomoeba, or Quagnoth, for example). <u>Yixlid Jailer</u> will prevent those abilities from triggering at all.££5/1/2007: If an ability triggers when the object that has it is put into a hidden zone from a graveyard, that ability triggers from the graveyard, (such as Golgari Brownscale), <u>Yixlid Jailer</u> will prevent that ability from triggering.££5/1/2007: Some replacement effects cause a card to be put somewhere else instead of being put into a graveyard (such as Legacy Weapon). These effects mean the card is never actually put into the graveyard, so <u>Yixlid Jailer</u> can't affect it.££5/1/2007: Some cards have abilities that modify how they're put onto the battlefield. For example, Scarwood Treefolk says ""Scarwood Treefolk is put onto the battlefield tapped"" and Triskelion says ""Triskelion enters the battlefield with three +1/+1 counters on it."" Although these cards won't have these abilities in the graveyard, they will be applied if the cards are put onto the battlefield from the graveyard (due to Zombify, perhaps). What matters is that these cards will have these abilities on the battlefield.££5/1/2007: If Mistform Ultimus is in the graveyard, the Ultimus will lose its ability that says ""Mistform Ultimus is every creature type,"" but it will still *be* all creature types. The way continuous effects work, Mistform Ultimus's type-changing ability is applied before <u>Yixlid Jailer</u>'s ability removes it."||Cards in graveyards lose all abilities.||
Zoetic Cavern|WPN/Gateway|GTW|Land|||||0|Martina Pilcerova|#_Nothing lives within it, yet there is life._#|L|{X}|8|R|||{T}: Add {1} to your mana pool.£Morph {2} #_(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)_#||
Arc Lightning|Arena League|ARE|Sorcery||||{2}{R}|3|Andrew Goldhawk|"#_""It is vain to look for a defense against lightning."" - Publius Syrus, Maxim 835, trans. Lyman_#"|R||42|R|£10/4/2004: Each target must receive at least 1 damage. You can't choose a target to take zero damage.££10/4/2004: You can't choose zero targets. You must choose at least one target.||Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.||
Ashnod's Coupon|Arena League|ARE|Artifact||||{0}|0|Edward P. Beard, Jr.|#_Limited time offer. Void where prohibited. Limit one per purchase. Valid only in participating duels. This coupon is nontransferable and invalid if shattered, crumbled, detonated, pillaged, or otherwise disenchanted. Cash value less than 1/20 of a cent. Offer not valid in Quebec, Rhode Island, or where prohibited by law or the DCI._#|A||66|R|||{T}, Sacrifice Ashnod's Coupon: Target player gets you target drink.£Errata: You pay any costs for the drink.||
Bonesplitter|Arena League|ARE|Artifact — Equipment||||{1}|1|Darrell Riche||A||52|R|||Equipped creature gets +2/+0.£Equip {1}||
Booster Tutor|Arena League|ARE|Instant||||{B}|1|Heather Hudson|#_Make your judgment wisely: The right pack will let you defeat your nemesis, but a poor choice can only end in torment. And Homelands._#|B||63|R|||Open a sealed Magic booster pack, reveal the cards, and put one of those cards into your hand. #_(Remove that card from your deck before beginning a new game.)_#||
Castigate|Arena League|ARE|Sorcery||||{W}{B}|2|Darrell Riche|#_We have no need for military might. We wield two of the sharpest swords ever forged: Faith in our left hand, Wealth in our right.£- Vuliev of the Ghost Council_#|WB||80|R|||Target opponent reveals his or her hand. You choose a nonland card from it and exile that card.||
Chill|Arena League|ARE|Enchantment||||{1}{U}|2|Greg Simanson|"#_""Temper, temper."" -Ertai, wizard adept_#"|U||19|R|||Red spells cost {2} more to cast.||
Circle of Protection: Art|Arena League|ARE|Enchantment||||{1}{W}|2|Mark “It’s teh-DEEN” Tedin||W||61|R|||As Circle of Protection: Art comes into play, choose an artist.£{1}{W}: The next time a source of your choice by the chosen artist would deal damage to you this turn, prevent that damage.£{1}{W}: Return Circle of Protection: Art to its owner's hand.||
Coiling Oracle|Arena League|ARE|Creature — Snake Elf Druid|1|1||{G}{U}|2|Mark Zug|#_Snaking remnants of nature directed by a body of thought and progress, the oracles embody all that is Simic._#|GU||82|R|||When Coiling Oracle enters the battlefield, reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put that card into your hand.||
Creeping Mold|Arena League|ARE|Sorcery||||{2}{G}{G}|4|Dave Seeley|"#_""Mold could catch you."" -Suq'Ata insult_#"|G||28|R|||Destroy target artifact, enchantment, or land.||
Darksteel Ingot|Arena League|ARE|Artifact||||{3}|3|Martina Pilcerova||A|{W}{U}{B}{R}{G}|58|R|||"Indestructible #_(Effects that say ""destroy"" don't destroy this artifact.)_#£{T}: Add one mana of any color to your mana pool."||
Dauthi Slayer|Arena League|ARE|Creature — Dauthi Soldier|2|2||{B}{B}|2|Dermot Power|"#_""A wisp of life remains in the undergloom of Death; a visible form, though no heart beats within it."" - Homer, The Iliad, trans. Fitzgerald_#"|B||43|R|||Shadow #_(This creature can block or be blocked by only creatures with shadow.)_#£Dauthi Slayer attacks each turn if able.||
Diabolic Edict|Arena League|ARE|Instant||||{1}{B}|2|Ron Spencer|"#_Greven il-Vec lifted Vhati off his feet. ""The fall will give you time to think on your failure.""_#"|B||37|R|||Target player sacrifices a creature.||
Disenchant|Arena League|ARE|Instant||||{1}{W}|2|Kevin McCann||W||6|R|£10/4/2004: This is not modal. If the target changes from an artifact to an enchantment or vice versa, this still destroys it.||Destroy target artifact or enchantment.||
Dismiss|Arena League|ARE|Instant||||{2}{U}{U}|4|Donato Giancola|"#_""There is nothing you can do that I cannot simply deny."" -Ertai, wizard adept_#"|U||29|R|||Counter target spell.£Draw a card.||
Duress|Arena League|ARE|Sorcery||||{B}|1|Lawrence Snelly|"#_""We decide who is worthy of our works."" -Gix, Yawgmoth praetor_#"|B||17|R|||Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.||
Elvish Aberration|Arena League|ARE|Creature — Elf Mutant|4|5||{5}{G}|6|Matt Cavotta||G|{G}|51|R|£2/1/2009: Unlike the normal cycling ability, Forestcycling doesn't allow you to draw a card. Instead, it lets you search your library for a Forest card. After you find a Forest card in your library, you reveal it, put it into your hand, then shuffle your library.££2/1/2009: Forestcycling is a form of cycling. Any ability that triggers on a card being cycled also triggers on Forestcycling this card. Any ability that stops a cycling ability from being activated also stops Forestcycling from being activated.££2/1/2009: Forestcycling is an activated ability. Effects that interact with activated abilities (such as Stifle or Rings of Brighthearth) will interact with Forestcycling. Effects that interact with spells (such as Remove Soul or Faerie Tauntings) will not.££2/1/2009: You can choose to find any card with the Forest land type, including nonbasic lands. You can also choose not to find a card, even if there is a Forest card in your library.||{T}: Add {G}{G}{G} to your mana pool.£Forestcycling {2} #_({2}, Discard this card: Search your library for a Forest card, reveal it, and put it into your hand. Then shuffle your library.)_#||
Empyrial Armor|Arena League|ARE|Enchantment — Aura||||{1}{W}{W}|3|D. Alexander Gregory|"#_""An angel appeared in the smoldering skies above the fray, her clothes as flames, her armor as fire."" -""Hymn of Angelfire""_#"|W||31|R|£10/4/2004: The value of X is recalculated constantly, so this card's bonus varies as the number of cards in your hand varies.||Enchant creature£Enchanted creature gets +1/+1 for each card in your hand.||
Enlightened Tutor|Arena League|ARE|Instant||||{W}|1|Dan Frazier|"#_""I do not teach. I simply reveal."" -Daudi, Femeref tutor_#"|W||21|R|"£10/4/2004: The ""shuffle and put the card on top"" is a single action. If an effect is making the top card of the library face up, the second card down on the library is not revealed.££10/4/2004: You do not have to find an artifact or enchantment card if you do not want to."||Search your library for an artifact or enchantment card and reveal that card. Shuffle your library, then put the card on top of it.||
Fireball|Arena League|ARE|Sorcery||||{X}{R}|1|Jock||R||7|R|£12/1/2004: The additional cost is paid when you pay the rest of <u>Fireball</u>'s costs, even though that text appears second on the card (to make the card easier to read). The additional cost doesn't count toward <u>Fireball</u>'s converted mana cost.££12/1/2004: If, for example, X is 5 and you choose three target creatures, <u>Fireball</u> has a total cost of {7}{R} (even though its mana cost is just {5}{R}). If those creatures are all still legal targets as <u>Fireball</u> resolves, it deals 1 damage to each of them.££5/1/2009: You may cast <u>Fireball</u> with zero targets, regardless of the value chosen for X. If you do so, it will not be a targeted spell, and no damage will actually be dealt when it resolves.££10/1/2009: <u>Fireball</u>'s damage is divided as <u>Fireball</u> resolves, not as it's cast, because there are no choices involved. The division involves only targets that are still legal at that time.££10/1/2009: You can target more than X creatures. However, if the number of legal targets at the time <u>Fireball</u> resolves is greater than X, none of them will be dealt any damage.||Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.£Fireball costs {1} more to cast for each target beyond the first.||
Fling|Arena League|ARE|Instant||||{1}{R}|2|Paolo Parente|#_It's raining rats and moggs._#|R||30|R|£8/15/2010: The sacrificed creature's last known existence on the battlefield is checked to determine its power.££8/15/2010: If you sacrifice an attacking or blocking creature during the declare blockers step, it won't deal combat damage. If you wait until the combat damage step, but that creature is dealt lethal damage, it'll be destroyed before you get a chance to sacrifice it.££4/15/2013: You must sacrifice exactly one creature to cast this spell; you cannot cast it without sacrificing a creature, and you cannot sacrifice additional creatures.££4/15/2013: Players can only respond once this spell has been cast and all its costs have been paid. No one can try to destroy the creature you sacrificed to prevent you from casting this spell.||As an additional cost to cast Fling, sacrifice a creature.£Fling deals damage equal to the sacrificed creature's power to target creature or player.||
